fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
KKR Asian Fund L.P.,2007,"$272,575,591","$355,648,095","$601,148,863","$601,235,187",13.6%,,CalPERS,2026-02-18
"KM Corporate Partners Fund II, LP",2007,"$200,000,000","$195,212,804","$238,176,799","$242,891,125",4.2%,,CalPERS,2026-02-18
"New Mountain Partners III, L.P.",2007,"$400,000,000","$470,815,270","$1,054,284,551","$1,069,892,208",14.6%,,CalPERS,2026-02-18
SAIF Partners III L.P.,2007,"$100,000,000","$126,111,682","$156,212,437","$229,127,105",6.3%,,CalPERS,2026-02-18
"Silver Lake Partners III, L.P.",2007,"$480,000,000","$612,624,572","$1,158,663,796","$1,190,620,246",18.5%,,CalPERS,2026-02-18
"TPG Asia V, L.P.",2007,"$360,000,000","$350,599,460","$488,924,451","$502,321,913",6.3%,,CalPERS,2026-02-18
"TPG STAR, L.P.",2007,"$150,000,000","$171,879,025","$219,538,523","$219,842,878",6.2%,,CalPERS,2026-02-18
"Vicente Capital Partners Growth Equity Fund, L.P.",2007,"$40,422,297","$40,801,085","$56,560,761","$56,952,409",5.7%,,CalPERS,2026-02-18
"Advent International GPE VI-A, L.P.",2008,"$500,000,000","$502,306,204","$1,006,375,016","$1,045,162,527",16.3%,,CalPERS,2026-02-18
"Apollo European Principal Finance Fund, L.P.",2008,"$82,991,535","$165,281,284","$200,770,615","$200,874,184",11.9%,,CalPERS,2026-02-18
"Ares Corporate Opportunities Fund III, L.P.",2008,"$400,000,000","$512,078,628","$1,059,418,691","$1,060,627,724",20.2%,,CalPERS,2026-02-18
Asia Alternatives Capital Partners II LP,2008,"$48,933,451","$50,415,824","$124,295,112","$126,652,630",16.7%,,CalPERS,2026-02-18
Bridgepoint Europe IV 'D' LP,2008,"$389,533,626","$391,605,384","$567,693,618","$607,323,619",9.3%,,CalPERS,2026-02-18
"California Asia Investors, L.P.",2008,"$150,000,000","$149,713,894","$626,729,398","$633,339,765",26.5%,,CalPERS,2026-02-18
"Capital Link Fund II, LLC",2008,"$435,600,000","$472,710,927","$784,419,220","$794,089,876",11.8%,,CalPERS,2026-02-18
