fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
BDC IV D LP,2021,"$204,507,413","$164,515,998",$0,"$194,522,495",8.1%  1,1,CalPERS,2026-02-18
"Bear Technology Fund, L.P.",2021,"$100,000,000","$95,495,070",$0,"$86,960,414",-3.2%  1,1,CalPERS,2026-02-18
"Berkshire Fund X, L.P.",2021,"$305,107,189","$396,185,515","$174,910,395","$448,839,740",7.6%  1,1,CalPERS,2026-02-18
"Blackstone Capital Partners VIII, L.P.",2021,"$262,500,000","$435,503,277","$281,733,098","$542,265,167",13.7%  1,1,CalPERS,2026-02-18
"Blackstone Core Equity Partners II, L.P.",2021,"$1,000,000,000","$452,202,883","$56,265,908","$634,138,645",14.0%  1,1,CalPERS,2026-02-18
Cedar Street Partners LP,2021,"$1,000,000,000","$290,576,015","$11,376,450","$679,174,484",39.8%  1,1,CalPERS,2026-02-18
"Clayton, Dubilier & Rice Fund XI, L.P.",2021,"$142,271,997","$428,742,377","$331,034,663","$468,835,352",3.6%  1,1,CalPERS,2026-02-18
CVC Capital Partners VIII (A) L.P.,2021,"$468,922,517","$765,226,639","$335,222,910","$916,630,636",8.9%  1,1,CalPERS,2026-02-18
DS Opportunities (C) LP,2021,"$509,604,306","$250,082,392",$0,"$468,654,547",32.4%  1,1,CalPERS,2026-02-18
EQT IX (No.2) USD SCSp,2021,"$655,495,509","$821,365,120","$247,751,535","$1,089,105,363",9.6%  1,1,CalPERS,2026-02-18
Fourth Street Partners - CPS L.P.,2021,"$500,000,000","$450,365,526","$72,974,016","$724,257,006",15.0%  1,1,CalPERS,2026-02-18
"Francisco Partners VI, L.P.",2021,"$250,000,000","$243,125,000","$41,728,571","$354,947,268",14.1%  1,1,CalPERS,2026-02-18
"Genstar Capital Partners X, L.P.",2021,"$100,000,000","$101,046,142","$4,020,604","$109,581,425",3.5%  1,1,CalPERS,2026-02-18
"Genstar X Opportunities Fund I, L.P.",2021,"$150,000,000","$133,857,480","$7,991,326","$164,940,682",8.3%  1,1,CalPERS,2026-02-18
GranTain Co-Invest L.P.,2021,"$350,000,000","$206,123,574","$8,960,614","$241,657,376",7.7%  1,1,CalPERS,2026-02-18
"Green Equity Investors CF II, L.P.",2021,"$60,537,375","$60,708,143",$0,"$97,848,753",14.5%  1,1,CalPERS,2026-02-18
"Green Equity Investors CF, L.P.",2021,"$186,639,450","$183,055,172","$113,710,240","$244,719,664",12.1%  1,1,CalPERS,2026-02-18
"Greenleaf Co-Invest Partners, L.P.",2021,"$1,375,000,000","$782,479,254","$8,725,142","$1,128,790,203",16.7%  1,1,CalPERS,2026-02-18
"H.I.G. Europe Middle Market LBO Fund, L.P.",2021,"$110,564,594","$82,393,996","$24,502,837","$113,547,418",23.2%  1,1,CalPERS,2026-02-18
"Hellman & Friedman Capital Partners X, L.P.",2021,"$940,007,767","$916,159,074","$154,415,852","$1,057,382,083",5.8%  1,1,CalPERS,2026-02-18
"Insight Partners XII Buyout Annex Fund, L.P.",2021,"$150,000,000","$136,980,208",$0,"$174,935,379",8.8%  1,1,CalPERS,2026-02-18
"Insight Partners XII, L.P.",2021,"$600,000,000","$561,929,570","$663,047","$586,904,470",1.5%  1,1,CalPERS,2026-02-18
"K5 Private Investors, L.P.",2021,"$150,000,000","$107,384,157","$5,985,446","$170,745,894",18.2%  1,1,CalPERS,2026-02-18
KKR Asian Fund IV SCSp,2021,"$300,000,000","$198,582,624","$38,864,858","$304,832,340",19.2%  1,1,CalPERS,2026-02-18
"Middlefield Road Private Opportunities Fund, L.P.",2021,"$800,000,000","$231,378,144",$0,"$263,000,573",5.8%  1,1,CalPERS,2026-02-18
"New Mountain CAS Continuation Fund, L.P.",2021,"$90,723,142","$91,001,432","$24,840,552","$69,174,998",-11.3%  1,1,CalPERS,2026-02-18
"New Mountain Partners VI, L.P.",2021,"$289,700,324","$577,978,315","$397,875,173","$774,314,940",13.0%  1,1,CalPERS,2026-02-18
"NM Pacific, L.P.",2021,"$332,000,000","$331,079,462","$3,996,176","$389,215,230",6.9%  1,1,CalPERS,2026-02-18
Nordic Bear SCSp,2021,"$1,800,000,000","$1,619,128,392","$89,275,250","$2,162,939,913",13.9%  1,1,CalPERS,2026-02-18
PSG V L.P.,2021,"$100,000,000","$105,966,965","$15,079,245","$128,297,215",10.4%  1,1,CalPERS,2026-02-18
"Q-Street Capital, L.P.",2021,"$900,000,000","$309,937,654",$0,"$397,361,486",10.1%  1,1,CalPERS,2026-02-18
"Silver Lake Partners VI, L.P.",2021,"$755,236,302","$874,774,144","$189,759,890","$1,108,392,779",8.9%  1,1,CalPERS,2026-02-18
"SPRINGBLUE A, L.P.",2021,"$50,000,000","$35,500,000",$0,"$26,941,610",-9.7%  1,1,CalPERS,2026-02-18
"SPRINGBLUE B, L.P.",2021,"$50,000,000","$45,250,000",$0,"$49,348,652",2.9%  1,1,CalPERS,2026-02-18
Sunrise Boulevard PE Partners L.P.,2021,"$500,000,000","$373,210,088","$757,910","$511,576,425",12.5%  1,1,CalPERS,2026-02-18
"TA Select Opportunities Fund II-A, L.P.",2021,"$50,000,000","$49,125,000",$0,"$51,568,453",2.5%  1,1,CalPERS,2026-02-18
"TA XIV-A, L.P.",2021,"$150,000,000","$146,625,000","$12,000,000","$175,439,123",7.9%  1,1,CalPERS,2026-02-18
"TCC Opportunities, L.P.",2021,"$1,475,000,000","$829,803,554","$62,238,617","$1,147,027,941",23.0%  1,1,CalPERS,2026-02-18
"TCV XI, L.P.",2021,"$261,229,279","$257,507,701","$18,031,534","$288,598,287",4.3%  1,1,CalPERS,2026-02-18
"Thoma Bravo Fund XIV, L.P.",2021,"$600,000,000","$649,108,610","$208,195,313","$809,225,597",6.8%  1,1,CalPERS,2026-02-18
"TPG Growth V, L.P.",2021,"$200,000,000","$201,840,232","$43,668,309","$291,708,202",14.0%  1,1,CalPERS,2026-02-18
Whitney Global Partners L.P.,2021,"$809,694,804","$756,432,479","$4,870,832","$906,852,667",7.7%  1,1,CalPERS,2026-02-18
Wigmore Street BDC IV Co-Investment No.1 LP,2021,"$50,294,305","$50,294,305",$0,"$56,863,206",6.7%  1,1,CalPERS,2026-02-18
Advent Global Technology II Limited Partnership,2022,"$150,000,000","$102,024,862",$0,"$136,416,355",15.0%  1,1,CalPERS,2026-02-18
Advent International GPE X Limited Partnership,2022,"$650,000,000","$336,443,790",$0,"$452,321,606",18.7%  1,1,CalPERS,2026-02-18
Arsenal Capital Partners Growth LP,2022,"$50,000,000","$21,660,662","$32,924","$13,864,123",-21.9%  1,1,CalPERS,2026-02-18
Arsenal Capital Partners VI LP,2022,"$150,000,000","$82,922,167","$1,592,744","$69,474,631",-9.7%  1,1,CalPERS,2026-02-18
"Base10 Partners III, L.P.",2022,"$50,000,000","$32,401,593",$0,"$32,613,317",0.4%  1,1,CalPERS,2026-02-18
"Bay State Partners, L.P.",2022,"$149,090,910","$146,648,491","$11,790,288","$186,830,491",13.2%  1,1,CalPERS,2026-02-18
"BOND III, LP",2022,"$75,000,000","$43,425,000",$0,"$42,150,317",-3.0%  1,1,CalPERS,2026-02-18
"BRV Lotus Fund III, L.P.",2022,"$100,000,000","$109,274,445","$19,673,015","$123,876,403",4.9%  1,1,CalPERS,2026-02-18
"Butterfly II, LP",2022,"$125,000,000","$107,669,482","$37,834,353","$139,015,293",16.4%  1,1,CalPERS,2026-02-18
CA Co-Investment Limited Partnership,2022,"$1,950,000,000","$622,844,890","$674,700","$970,944,786",20.4%  1,1,CalPERS,2026-02-18
"Carlyle Partners VIII, L.P.",2022,"$177,206,640","$232,168,579","$160,290,145","$276,677,355",11.9%  1,1,CalPERS,2026-02-18
"Clearlake Capital Partners VII, L.P.",2022,"$350,000,000","$251,073,169","$941,316","$281,126,896",5.0%  1,1,CalPERS,2026-02-18
EQT X (No.2) USD SCSp,2022,"$500,000,000","$216,851,217","$11,648,082","$235,954,806",10.1%  1,1,CalPERS,2026-02-18
"Healthcare and Fintech, L.P.",2022,"$200,000,000","$150,603,729",$0,"$239,399,767",33.9%  1,1,CalPERS,2026-02-18
"HongShan Capital Seed Fund III, L.P.",2022,"$12,000,000","$5,404,613",$0,"$4,674,079",-9.6%  1,1,CalPERS,2026-02-18
"HongShan Capital Venture Fund IX, L.P.",2022,"$32,000,000","$11,223,674",$0,"$10,024,298",-8.5%  1,1,CalPERS,2026-02-18
KKR North America Fund XIII SCSp,2022,"$600,000,000","$523,017,334","$11,312,159","$631,231,680",11.1%  1,1,CalPERS,2026-02-18
"Lightspeed Opportunity Fund II, LP",2022,"$200,000,000","$192,000,000",$0,"$263,445,976",20.1%  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners Select V, L.P.",2022,"$100,000,000","$92,500,000",$0,"$111,114,744",10.8%  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners XIV-A (Inception), L.P.",2022,"$45,000,000","$37,800,000",$0,"$52,314,963",16.9%  1,1,CalPERS,2026-02-18
"Lightspeed Venture Partners XIV-B (Ignite), L.P.",2022,"$55,000,000","$46,200,000",$0,"$67,389,794",22.8%  1,1,CalPERS,2026-02-18
"Oak HC/FT Partners V, L.P.",2022,"$200,000,000","$114,828,590","$15,561,739","$133,368,622",16.4%  1,1,CalPERS,2026-02-18
Permira Growth Opportunities II SCSP,2022,"$155,000,000","$100,751,892","$6,433,550","$103,532,908",1.5%  1,1,CalPERS,2026-02-18
"Project Quail Opportunities, L.P.",2022,"$1,000,000,000","$586,326,977","$950,806","$797,615,600",22.6%  1,1,CalPERS,2026-02-18
PSG Encore L.P.,2022,"$100,000,000","$90,286,712","$4,024,480","$102,741,962",8.1%  1,1,CalPERS,2026-02-18
"Redwood Lane Capital, L.P.",2022,"$700,000,000","$669,286,173",$0,"$928,489,739",20.7%  1,1,CalPERS,2026-02-18
"Summit Partners Growth Equity Fund XI-A, L.P.",2022,"$400,000,000","$190,976,743","$1,629,711","$196,749,171",2.0%  1,1,CalPERS,2026-02-18
"The Veritas Capital Fund VIII, L.P.",2022,"$625,000,000","$526,111,729","$168,666","$646,058,226",11.8%  1,1,CalPERS,2026-02-18
"Thoma Bravo Fund XV, L.P.",2022,"$348,293,279","$501,417,164","$245,692,431","$646,422,261",12.6%  1,1,CalPERS,2026-02-18
"Tiger Global Private Investment Partners XV, L.P.",2022,"$300,000,000","$285,000,000",$0,"$221,505,000",-7.8%  1,1,CalPERS,2026-02-18
"Trident IX, L.P.",2022,"$500,000,000","$445,151,402","$55,347,166","$578,414,930",18.2%  1,1,CalPERS,2026-02-18
"WCAS XIV, L.P.",2022,"$400,000,000","$172,590,742",$0,"$180,294,675",2.8%  1,1,CalPERS,2026-02-18
Amberbrook IX LP,2023,"$150,000,000","$90,421,042","$7,155,788","$144,748,506",N/M  1,1,CalPERS,2026-02-18
"AMZL, LP",2023,"$600,000,000","$276,624,599",$0,"$239,468,403",N/M  1,1,CalPERS,2026-02-18
"Apollo Investment Fund X, L.P.",2023,"$225,000,000","$103,909,711","$21,889,541","$122,759,188",N/M  1,1,CalPERS,2026-02-18
"Arlington Capital Partners VI, L.P.",2023,"$300,000,000","$201,703,217","$10,210,739","$292,326,105",N/M  1,1,CalPERS,2026-02-18
"B Capital Global Growth III, L.P.",2023,"$67,500,000","$53,841,779","$2,446,753","$62,558,730",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Asia Fund V, L.P.",2023,"$300,000,000","$93,390,237","$14,181,591","$128,959,099",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Europe Fund VI, SCSp",2023,"$170,885,925","$51,153,225",$0,"$67,441,942",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Insurance Fund, L.P.",2023,"$125,000,000","$61,100,636","$8,192,494","$76,006,449",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Tech Opportunities Fund II, L.P.",2023,"$150,000,000","$85,094,837","$4,692,746","$118,045,410",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Venture Coinvestment Fund IV, L.P.",2023,"$150,000,000","$83,250,000",$0,"$95,791,824",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Venture Fund 2022, L.P.",2023,"$150,000,000","$84,385,572",$0,"$109,226,096",N/M  1,1,CalPERS,2026-02-18
"Base10 Series B I, L.P.",2023,"$50,000,000","$29,999,999",$0,"$28,104,513",N/M  1,1,CalPERS,2026-02-18
"BC CLP INVESTORS, L.P.",2023,"$2,000,000,000","$1,043,513,785","$11,643,204","$1,254,068,935",N/M  1,1,CalPERS,2026-02-18
"Bear Coast (CV) Fund, LP",2023,"$300,000,000","$191,000,000",$0,"$260,621,135",N/M  1,1,CalPERS,2026-02-18
"Bear Coast (Ventures) Fund, LP",2023,"$800,000,000","$776,211,164",$0,"$893,814,420",N/M  1,1,CalPERS,2026-02-18
Biogeneration Capital Fund V Cooperatief U.A.,2023,"$22,856,178","$6,306,732",$0,"$7,942,314",N/M  1,1,CalPERS,2026-02-18
"Blackwell Capital Partners, LP",2023,"$1,620,093,396","$401,518,202","$10,870,068","$606,141,795",N/M  1,1,CalPERS,2026-02-18
BVP Forge Institutional L.P.,2023,"$35,000,000","$17,810,745",$0,"$23,018,215",N/M  1,1,CalPERS,2026-02-18
"CA1 SPV, L.P.",2023,"$1,200,000,000","$896,584,367",$0,"$1,131,229,420",N/M  1,1,CalPERS,2026-02-18
Canaan Gold Coast L.P.,2023,"$235,000,000","$80,925,000",$0,"$84,523,058",N/M  1,1,CalPERS,2026-02-18
CapVest Equity Partners V SCSp,2023,"$345,567,585","$71,810,319",$0,"$111,050,113",N/M  1,1,CalPERS,2026-02-18
"Cerberus Supply Chain Fund, L.P.",2023,"$200,000,000","$72,373,834","$767,125","$110,133,180",N/M  1,1,CalPERS,2026-02-18
"Coastal Pacific Partners, L.P.",2023,"$173,749,880","$120,409,743","$362,565","$129,520,648",N/M  1,1,CalPERS,2026-02-18
"Coefficient Capital Apex Fund I, LP",2023,"$83,726,563","$28,254,415",$0,"$28,526,141",N/M  1,1,CalPERS,2026-02-18
"Crosspoint Capital Fund II, LP",2023,"$300,000,000","$190,331,432","$416,541","$218,204,432",N/M  1,1,CalPERS,2026-02-18
CV Consortio Fund L.P.,2023,"$1,250,000,000","$630,513,124",$0,"$1,200,785,538",N/M  1,1,CalPERS,2026-02-18
"Equip Opportunities Fund, L.P.",2023,"$200,000,000","$95,785,110",$0,"$95,559,165",N/M  1,1,CalPERS,2026-02-18
Forbion Growth Opportunities Fund II Cooperatief U.A.,2023,"$17,402,142","$9,399,185","$9,517,541","$17,407,435",N/M  1,1,CalPERS,2026-02-18
Forbion Ventures Fund VI Cooperatief U.A.,2023,"$182,444,003","$65,383,599","$22,280,690","$98,753,284",N/M  1,1,CalPERS,2026-02-18
ForCal I Investment Fund C.V.,2023,"$333,793,537","$234,333,132",$0,"$332,070,754",N/M  1,1,CalPERS,2026-02-18
"Francisco Partners VII, L.P.",2023,"$450,000,000","$139,950,000",$0,"$149,981,406",N/M  1,1,CalPERS,2026-02-18
"GC Customer Value Fund, L.P.",2023,"$280,494,000","$144,359,702","$14,845,193","$174,231,089",N/M  1,1,CalPERS,2026-02-18
"GCM Grosvenor Elevate Fund, L.P.",2023,"$500,000,000","$53,595,277","$4,235,857","$45,866,549",N/M  1,1,CalPERS,2026-02-18
"General Catalyst Group XI - Health Assurance, L.P.",2023,"$200,000,000","$186,286,867",$0,"$219,173,400",N/M  1,1,CalPERS,2026-02-18
"Genstar Capital Partners XI, L.P.",2023,"$200,000,000","$26,492,440","$2,314,438","$28,991,570",N/M  1,1,CalPERS,2026-02-18
"Genstar XI Opportunities Fund I, L.P.",2023,"$200,000,000","$61,681,421","$2,329,405","$73,306,627",N/M  1,1,CalPERS,2026-02-18
"Grain Communications Opportunity Fund IV-A, L.P.",2023,"$200,000,000","$55,838,083","$1,181,403","$50,946,741",N/M  1,1,CalPERS,2026-02-18
"Green Equity Investors IX, L.P.",2023,"$500,000,000","$270,950,570","$7,028,796","$318,674,234",N/M  1,1,CalPERS,2026-02-18
"Greenbriar Equity Fund VI, L.P.",2023,"$95,000,000","$48,702,456","$6,770","$54,493,690",N/M  1,1,CalPERS,2026-02-18
Hg Genesis 10 A L.P.,2023,"$143,422,255","$36,631,553",$0,"$45,878,179",N/M  1,1,CalPERS,2026-02-18
Hg Mercury 4 A L.P.,2023,"$56,979,606","$18,561,560",$0,"$23,064,000",N/M  1,1,CalPERS,2026-02-18
Hg Saturn 3 A L.P.,2023,"$150,000,000","$81,947,942",$0,"$99,850,320",N/M  1,1,CalPERS,2026-02-18
"HongShan Capital Growth Fund VII, L.P.",2023,"$104,000,000","$28,137,580",$0,"$23,604,765",N/M  1,1,CalPERS,2026-02-18
"Innovation Opportunities, L.P.",2023,"$1,928,299,753","$1,225,488,761",$0,"$1,873,925,780",N/M  1,1,CalPERS,2026-02-18
"Lux Ventures VIII, L.P.",2023,"$300,000,000","$145,500,000",$0,"$204,484,243",N/M  1,1,CalPERS,2026-02-18
Magnolia Opportunities LLC,2023,"$100,000,000","$37,187,000","$16,120,000","$43,777,190",N/M  1,1,CalPERS,2026-02-18
"Moreton Bay SPV, LP",2023,"$1,350,000,000","$1,157,712,806",$0,"$1,413,511,398",N/M  1,1,CalPERS,2026-02-18
"Muir Woods Partners, L.P.",2023,"$250,000,000","$139,004,798",$0,"$237,432,972",N/M  1,1,CalPERS,2026-02-18
"Orchard Park, L.P.",2023,"$535,350,000","$447,398,083",$0,"$557,078,763",N/M  1,1,CalPERS,2026-02-18
Pantheon Global Secondary Fund VII Feeder (US) LP,2023,"$200,000,000","$100,978,352",$0,"$131,800,100",N/M  1,1,CalPERS,2026-02-18
"Patient Square Equity Partners, LP",2023,"$300,000,000","$261,152,746","$1,827,337","$310,830,804",N/M  1,1,CalPERS,2026-02-18
Permira VIII-2 SCSp,2023,"$725,906,172","$406,165,100","$10,226,737","$510,001,630",N/M  1,1,CalPERS,2026-02-18
"Phoenix Bear Partners, L.P.",2023,"$1,975,000,000","$1,554,903,015","$27,118,775","$2,010,797,180",N/M  1,1,CalPERS,2026-02-18
"Prysm Capital Fund I, L.P.",2023,"$100,000,000","$104,083,531",$0,"$111,909,892",N/M  1,1,CalPERS,2026-02-18
PSG Europe II L.P.,2023,"$113,839,221","$44,914,805","$12,432,597","$57,736,805",N/M  1,1,CalPERS,2026-02-18
Red Admiral Fund LP,2023,"$1,200,000,000","$348,864,146","$90,273,720","$749,820,241",N/M  1,1,CalPERS,2026-02-18
Rubicon Partners SCSp,2023,"$510,621,712","$217,164,676",$0,"$308,249,702",N/M  1,1,CalPERS,2026-02-18
"SignalFire Sage Fund, L.P.",2023,"$100,000,000","$89,647,871",$0,"$120,414,947",N/M  1,1,CalPERS,2026-02-18
"Springblue B-III, L.P.",2023,"$40,000,000","$10,200,000",$0,"$13,606,670",N/M  1,1,CalPERS,2026-02-18
"Springblue Co-Investment SPV, LP",2023,"$120,000,000","$26,466,050",$0,"$53,277,720",N/M  1,1,CalPERS,2026-02-18
"SR One Capital Fund II-A, LP",2023,"$90,000,000","$66,253,380","$4,228,213","$61,632,674",N/M  1,1,CalPERS,2026-02-18
"SR One Capital Opportunities Fund I, LP",2023,"$72,351,563","$55,703,063","$218,987","$42,723,329",N/M  1,1,CalPERS,2026-02-18
"The Rise Fund III, L.P.",2023,"$100,000,000","$70,810,138","$1,909,238","$89,252,352",N/M  1,1,CalPERS,2026-02-18
"Three Pillars Flex Opportunities Fund, LP",2023,"$1,000,000,000","$81,396,285","$12,422,259","$190,092,831",N/M  1,1,CalPERS,2026-02-18
"Thrive Capital Partners VIII Growth, L.P.",2023,"$300,000,000","$296,645,794","$47,917,176","$510,236,176",N/M  1,1,CalPERS,2026-02-18
"Timber Coast Private Opportunities, L.P.",2023,"$300,000,000","$70,228,202",$0,"$85,543,816",N/M  1,1,CalPERS,2026-02-18
"TPG PARTNERS IX, L.P.",2023,"$300,000,000","$183,111,899","$2,469,943","$222,078,030",N/M  1,1,CalPERS,2026-02-18
"TPG Tech Adjacencies II, L.P.",2023,"$200,000,000","$133,594,523","$17,957,016","$163,390,993",N/M  1,1,CalPERS,2026-02-18
"Triangle Investment Opportunities, L.P.",2023,"$1,000,000,000","$971,207,347","$70,477,425","$1,785,443,657",N/M  1,1,CalPERS,2026-02-18
Valor Equity Partners VI L.P.,2023,"$300,000,000","$206,789,782","$64,595","$308,564,951",N/M  1,1,CalPERS,2026-02-18
VIP V S.C.Sp.,2023,"$347,337,919","$77,154,266","$1,890,592","$74,389,019",N/M  1,1,CalPERS,2026-02-18
"2SP I, L.P.",2024,"$300,000,000","$193,679,138",$0,"$209,169,028",N/M  1,1,CalPERS,2026-02-18
"Acrew Capital Fund III, L.P.",2024,"$70,000,000","$15,462,527",$0,"$13,352,334",N/M  1,1,CalPERS,2026-02-18
"Acrew Diversify Capital Fund II, L.P.",2024,"$50,000,000","$8,407,429",$0,"$7,118,432",N/M  1,1,CalPERS,2026-02-18
"American Industrial Partners Capital Fund VIII, L.P.",2024,"$200,000,000","$110,713,357","$5,504,573","$120,096,545",N/M  1,1,CalPERS,2026-02-18
"B Capital Ascent Fund III, L.P.",2024,"$107,567,115","$16,799,309","$7,324","$25,455,812",N/M  1,1,CalPERS,2026-02-18
"B Capital Opportunities Fund II, L.P.",2024,"$240,000,000","$29,747,061",$0,"$45,833,393",N/M  1,1,CalPERS,2026-02-18
"Bain Capital Life Sciences Fund IV, L.P.",2024,"$100,000,000","$15,000,000",$0,"$8,851,209",N/M  1,1,CalPERS,2026-02-18
"Balderton Capital Growth II, S.L.P.",2024,"$63,000,000","$24,993,356",$0,"$24,431,102",N/M  1,1,CalPERS,2026-02-18
"Balderton Capital IX, S.L.P.",2024,"$56,000,000","$13,378,885",$0,"$12,492,043",N/M  1,1,CalPERS,2026-02-18
Bessemer Venture Partners XII Institutional L.P.,2024,"$115,000,000","$33,319,827",$0,"$32,372,470",N/M  1,1,CalPERS,2026-02-18
BjorkTree AB,2024,"$114,849,994","$20,997,752",$0,"$26,744,289",N/M  1,1,CalPERS,2026-02-18
Bridgepoint Europe VII D LP,2024,"$101,277,589","$59,499,061",$0,"$71,467,768",N/M  1,1,CalPERS,2026-02-18
Canaan XIII Healthcare Fund L.P.,2024,"$37,083,465","$2,595,843",$0,"$1,727,141",N/M  1,1,CalPERS,2026-02-18
Canaan XIII L.P.,2024,"$205,000,000","$29,930,000","$200,000","$26,470,282",N/M  1,1,CalPERS,2026-02-18
"Clayton, Dubilier & Rice Fund XII, L.P.",2024,"$500,000,000","$198,016,315","$20,116,084","$258,125,752",N/M  1,1,CalPERS,2026-02-18
"Coalesce Capital Fund I, L.P.",2024,"$150,000,000","$40,024,276","$173,859","$36,261,290",N/M  1,1,CalPERS,2026-02-18
"Cobalt Investment Fund, L.P.",2024,"$100,000,000","$278,860",$0,"$278,860",N/M  1,1,CalPERS,2026-02-18
"Coefficient Capital Fund II, LP",2024,"$90,562,500","$7,892,272",$0,"$6,132,792",N/M  1,1,CalPERS,2026-02-18
CVC Capital Partners Asia VI (A) L.P.,2024,"$300,000,000","$42,735,473","$3,183,675","$51,494,346",N/M  1,1,CalPERS,2026-02-18
CVC Capital Partners IX (A) L.P.,2024,"$542,707,336","$71,879,597","$86,768","$82,506,270",N/M  1,1,CalPERS,2026-02-18
"EII-C SPV, LP",2024,"$95,000,000","$65,243,109",$0,"$73,724,171",N/M  1,1,CalPERS,2026-02-18
"Ember Infrastructure Fund II-B, LP",2024,"$100,000,000","$28,689,828","$1,129,629","$29,626,433",N/M  1,1,CalPERS,2026-02-18
Forbion BioEconomy Fund I Co?peratief U.A.,2024,"$40,468,016","$6,802,599",$0,"$6,311,443",N/M  1,1,CalPERS,2026-02-18
Forbion Growth Opportunities Fund III Co?peratief U.A.,2024,"$388,846,002","$45,938,822","$1,447,269","$92,428,151",N/M  1,1,CalPERS,2026-02-18
Forbion Ventures Fund VII Co?peratief U.A.,2024,"$275,916,983","$34,927,746","$183,920","$32,922,044",N/M  1,1,CalPERS,2026-02-18
"FSP LR, L.P.",2024,"$10,000,000","$311,850",$0,"$14,990",N/M  1,1,CalPERS,2026-02-18
"Gaia Investments, S.L.P.",2024,"$120,000,000","$68,525,000",$0,"$69,321,865",N/M  1,1,CalPERS,2026-02-18
"General Catalyst Group XII - Creation, L.P.",2024,"$200,000,000","$125,345,491","$242,490","$156,615,870",N/M  1,1,CalPERS,2026-02-18
"General Catalyst Group XII - Endurance, L.P.",2024,"$293,500,000","$205,277,132","$33,867","$206,316,750",N/M  1,1,CalPERS,2026-02-18
"General Catalyst Group XII - Health Assurance, L.P.",2024,"$100,000,000","$42,206,028","$4,358","$38,513,259",N/M  1,1,CalPERS,2026-02-18
"General Catalyst Group XII - Ignition, L.P.",2024,"$200,000,000","$105,176,209","$148,420","$116,954,823",N/M  1,1,CalPERS,2026-02-18
GI Data Infrastructure Fund II LP,2024,"$150,000,000","$56,198,563",$0,"$59,412,419",N/M  1,1,CalPERS,2026-02-18
GIM LTE Hazel L.P.,2024,"$215,000,000","$203,850,000",$0,"$274,369,798",N/M  1,1,CalPERS,2026-02-18
"Gold Hills Partners, L.P.",2024,"$400,000,000","$311,723,361","$9,264,486","$425,115,833",N/M  1,1,CalPERS,2026-02-18
"Gorseway Park PE, L.P.",2024,"$275,750,000","$244,838,980",$0,"$270,638,542",N/M  1,1,CalPERS,2026-02-18
"GreatPoint Opportunity Fund I, L.P.",2024,"$100,000,000","$85,141,851",$0,"$94,381,545",N/M  1,1,CalPERS,2026-02-18
"GSC I, L.P.",2024,"$1,100,000,000","$348,193,495",$0,"$382,639,485",N/M  1,1,CalPERS,2026-02-18
Hedosophia Partners VI L.P.,2024,"$60,000,000","$29,999,996",$0,"$41,270,432",N/M  1,1,CalPERS,2026-02-18
Hedosophia Strategic Partners L.P.,2024,"$14,134,615","$12,356,231",$0,"$12,437,509",N/M  1,1,CalPERS,2026-02-18
"HongShan Capital Expansion Fund I, L.P.",2024,"$134,000,000","$20,770,000",$0,"$22,141,806",N/M  1,1,CalPERS,2026-02-18
"Hornet Co-Invest, L.P.",2024,"$800,000,000","$492,162,226",$0,"$677,583,449",N/M  1,1,CalPERS,2026-02-18
"Insight Partners XIII Growth Buyout Fund, L.P.",2024,"$100,000,000","$17,000,000","$25,474","$19,264,125",N/M  1,1,CalPERS,2026-02-18
"Insight Partners XIII, L.P.",2024,"$300,000,000","$54,563,999","$27,042","$55,397,747",N/M  1,1,CalPERS,2026-02-18
"Jade Equity Investors II, L.P.",2024,"$150,000,000","$55,295,097",$0,"$65,342,474",N/M  1,1,CalPERS,2026-02-18
"JSC Capital Partners, L.P.",2024,"$1,175,584,265","$1,178,998,131",$0,"$1,385,499,032",N/M  1,1,CalPERS,2026-02-18
"KOALA PACIFIC PARTNERSHIP, L.P.",2024,"$200,000,000","$150,425,662",$0,"$177,755,044",N/M  1,1,CalPERS,2026-02-18
"Lincoln Plaza Fund, L.P.",2024,"$2,000,000,000","$646,334,782","$9,063,510","$768,507,261",N/M  1,1,CalPERS,2026-02-18
"LS Investments C, L.P.",2024,"$650,000,000","$506,936,627",$0,"$589,013,362",N/M  1,1,CalPERS,2026-02-18
"Mayfield XVII, a Delaware Limited Partnership",2024,"$21,000,000","$3,360,000",$0,"$4,557,446",N/M  1,1,CalPERS,2026-02-18
"MBK Partners Fund VI, L.P.",2024,"$250,000,000","$49,503,729","$134,737","$33,058,741",N/M  1,1,CalPERS,2026-02-18
"New Mountain Partners VII, L.P.",2024,"$250,000,000","$43,964,888",$0,"$52,375,994",N/M  1,1,CalPERS,2026-02-18
"Pioneer Pier Investments, L.P.",2024,"$300,000,000","$51,050,648","$1,043,992","$69,156,044",N/M  1,1,CalPERS,2026-02-18
