fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"Carlyle Partners IV, L.P.",2004,75000000.0,73622286.0,149624496.0,,2.03,0.131,Florida SBA,2020-Q2,2025-02-19
"Carlyle Partners V, L.P.",2007,200000000.0,175586973.0,317900250.0,,1.81,0.135,Florida SBA,2020-Q2,2025-02-19
"Carlyle Partners VI, L.P.",2012,133400000.0,210208571.0,169846323.0,146201284.0,1.5,0.142,Florida SBA,2020-Q2,2025-02-19
Carlyle Partners VII,2017,100000000.0,39773112.0,211700.0,36202766.0,0.92,-0.11,Florida SBA,2020-Q2,2025-02-19
Carnelian Energy Capital II,2017,40000000.0,21580249.0,3979066.0,15716899.0,0.91,-0.067,Florida SBA,2020-Q2,2025-02-19
"Carnelian Energy Capital III, L.P.",2019,75000000.0,1943595.0,0.0,528996.0,0.27,,Florida SBA,2020-Q2,2025-02-19
"Centre Capital Investors II, L.P.",1995,200000000.0,257132909.0,208034779.0,,0.81,-0.0409999999999999,Florida SBA,2020-Q2,2025-02-19
"Charlesbank Equity Fund VII, L.P.",2009,75000000.0,73513055.0,136419954.0,26326855.0,2.21,0.2339999999999999,Florida SBA,2020-Q2,2025-02-19
"Charlesbank Equity Fund VIII, L.P.",2014,85000000.0,94400611.0,66235108.0,64204600.0,1.38,0.139,Florida SBA,2020-Q2,2025-02-19
"Charlesbank Equity Fund IX, L.P.",2017,105000000.0,44832134.0,1685923.0,47326835.0,1.09,0.086,Florida SBA,2020-Q2,2025-02-19
Charlesbank Fund IX Overage Allocation Program,2018,20000000.0,12651194.0,0.0,16332076.0,1.29,0.181,Florida SBA,2020-Q2,2025-02-19
"Charterhouse Capital Partners IX, L.P.",2008,90366890.0,71396612.0,96335016.0,,1.35,0.1369999999999999,Florida SBA,2020-Q2,2025-02-19
"Chartwell Capital Investors II, L.P.",1998,50000000.0,52675460.0,70708181.0,,1.34,0.047,Florida SBA,2020-Q2,2025-02-19
"Corporate Partners, L.P.",1988,149192410.0,118102670.0,251812055.0,,2.13,0.124,Florida SBA,2020-Q2,2025-02-19
"Cortec Group Fund V, L.P.",2010,50000000.0,51154398.0,192544940.0,19595625.0,4.15,0.309,Florida SBA,2020-Q2,2025-02-19
"Cortec Group Fund VI, L.P.",2015,75000000.0,80299517.0,18172496.0,59368901.0,0.97,-0.019,Florida SBA,2020-Q2,2025-02-19
"Cressey & Company Fund IV, L.P.",2007,50000000.0,47090057.0,102998880.0,1150368.0,2.21,0.221,Florida SBA,2020-Q2,2025-02-19
Cressey & Company Fund V LP,2014,75000000.0,70125000.0,21478462.0,88183181.0,1.56,0.166,Florida SBA,2020-Q2,2025-02-19
Cressey & Company Fund VI LP,2018,100000000.0,25000000.0,0.0,28310883.0,1.13,0.113,Florida SBA,2020-Q2,2025-02-19
Cressey & Company Overage Fund VI LP,2018,10000000.0,2890000.0,0.0,4154822.0,1.44,0.267,Florida SBA,2020-Q2,2025-02-19
"CVC European Equity Partners V, L.P.",2007,102826253.0,93349544.0,181306230.0,11628055.0,2.07,0.1669999999999999,Florida SBA,2020-Q2,2025-02-19
"CVC Capital Partners VI, L.P.",2013,102645517.0,91432740.0,47500296.0,84442412.0,1.44,0.138,Florida SBA,2020-Q2,2025-02-19
CVC Capital Partners VII,2016,102163598.0,55902956.0,1212982.0,59908602.0,1.09,0.103,Florida SBA,2020-Q2,2025-02-19
CVC Capital Partners VIII (A) L.P.,2019,222518914.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
Cypress Equity Group Trust,1996,15000000.0,9231932.0,19830011.0,,2.15,0.161,Florida SBA,2020-Q2,2025-02-19
"Datadog, Inc.",2019,70564685.0,70564685.0,66776920.0,47942665.0,1.63,,Florida SBA,2020-Q2,2025-02-19
DCPF VI Oil and Gas Coinvestment Fund LP,2013,50000000.0,43044132.0,63854731.0,4049797.0,1.58,0.157,Florida SBA,2020-Q2,2025-02-19
"Denham Commodity Partners Fund VI, L.P.",2011,100000000.0,114927131.0,67172391.0,48841863.0,1.01,0.003,Florida SBA,2020-Q2,2025-02-19
Denham Oil & Gas Fund LP,2016,100000000.0,78653498.0,43638241.0,24309224.0,0.86,-0.088,Florida SBA,2020-Q2,2025-02-19
Denham Oil & Gas Fund II LP,2019,75000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"EnCap Energy Capital Fund VIII, L.P.",2010,75000000.0,74306338.0,40822748.0,11708413.0,0.71,-0.104,Florida SBA,2020-Q2,2025-02-19
"EnCap Energy Capital Fund IX, L.P.",2012,75000000.0,79493329.0,59467760.0,20508171.0,1.01,0.002,Florida SBA,2020-Q2,2025-02-19
"EnCap Energy Capital Fund X, L.P.",2015,100000000.0,91768359.0,19741126.0,63246943.0,0.9,-0.0409999999999999,Florida SBA,2020-Q2,2025-02-19
"EnCap Energy Capital Fund XI, L.P.",2016,100000000.0,30149055.0,0.0,17923776.0,0.59,-0.3429999999999999,Florida SBA,2020-Q2,2025-02-19
EnCap Flatrock Midstream Fund III,2014,50000000.0,59978715.0,26656708.0,40131628.0,1.11,0.07,Florida SBA,2020-Q2,2025-02-19
EnCap Flatrock Midstream Fund IV,2017,65000000.0,28837480.0,6793749.0,24377713.0,1.08,0.062,Florida SBA,2020-Q2,2025-02-19
"Energy Capital Partners II, L.P.",2008,100000000.0,71972174.0,99608080.0,3611745.0,1.43,0.083,Florida SBA,2020-Q2,2025-02-19
"Energy Capital Partners III, L.P.",2013,150000000.0,170719501.0,67020995.0,140058775.0,1.21,0.076,Florida SBA,2020-Q2,2025-02-19
