fund_name,canonical_gp,vintage_year,vintage_source,net_irr,tvpi,dpi,capital_contributed,fund_category,source,reporting_period
Mosaic Ventures I L.P.,Mosaic Ventures,2015,inferred,0.1632,2.2995,0.00,28762590,European VC - UK,UTIMCO,2023-02-28
Wingate Partners II L.P.,Wingate Partners,,unknown,0.2358,1.9975,2.00,12622730,US PE - Lower Middle Market,UTIMCO,2023-02-28
Wingate Partners III L.P.,Wingate Partners,,unknown,0.2354,3.2766,3.28,16983870,US PE - Lower Middle Market,UTIMCO,2023-02-28
Wingate Partners IV L.P.,Wingate Partners,,unknown,0.1674,2.9343,2.94,48390160,US PE - Lower Middle Market,UTIMCO,2023-02-28
Alta Partners NextGen Fund I L.P.,Alta Partners,,unknown,0.5828,4.1395,1.47,47101370,US VC - Life Sciences,UTIMCO,2023-02-28
Alta Partners NextGen Fund II L.P.,Alta Partners,,unknown,0.3206,1.8086,0.00,43456390,US VC - Life Sciences,UTIMCO,2023-02-28
Sante Health Ventures II LP,Sante Ventures,,unknown,0.3508,3.3099,2.81,37158140,US VC - Life Sciences,UTIMCO,2023-02-28
Cendana Longhorns L.P.,Cendana Capital,,unknown,0.2839,2.7232,0.67,240790400,Fund of Funds,UTIMCO,2023-02-28
Correlation Ventures L.P.,Correlation Ventures,,unknown,0.0459,1.3711,1.03,10125000,US VC - Quantitative,UTIMCO,2023-02-28
Correlation Ventures Executives Fund L.P.,Correlation Ventures,,unknown,0.0498,1.4121,1.03,10125000,US VC - Quantitative,UTIMCO,2023-02-28
