fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"Vestar Capital Partners V, L.P.",2005,150000000,150766214,199607770,,3.88,CalSTRS,2026-02-18,"FYE June 30, 2025"
VIP III LP,2017,179012041,197163315,144601250,296403226,21.57,CalSTRS,2026-02-18,"FYE June 30, 2025"
VIP IV LP,2020,234769890,207096081,3949739,278400859,11.44,CalSTRS,2026-02-18,"FYE June 30, 2025"
Vista Equity Endeavor II,2019,30000000,30993093,3592870,34498837,8.00,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Vista Foundation Fund IV, LP",2020,100000000,88169880,19263,94666511,2.30,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Vivo Capital Fund IX, L.P.",2018,100000000,106598832,74755744,109718642,18.79,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Vivo Capital Fund VIII, L.P.",2015,40000000,40000000,60422517,18161696,14.95,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Vivo Capital Surplus Fund VIII, L.P.",2015,6000000,6000000,9297017,2735214,15.87,CalSTRS,2026-02-18,"FYE June 30, 2025"
"WCAS XIII, L.P.",2019,250000000,246650576,155046984,240899195,18.73,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Welsh, Carson, Anderson & Stowe XI, L.P.",2009,250000000,251761250,417063124,477053,11.45,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Welsh, Carson, Anderson & Stowe XII, L.P.",2015,150000000,150000000,298980537,68574366,24.07,CalSTRS,2026-02-18,"FYE June 30, 2025"
