fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"New Enterprise Associates XIII, LP",2009,65000000,65000000,166494000,9836123,16.75,CalSTRS,2026-02-18,"FYE June 30, 2025"
"New Enterprises Associates VIII, L.P.",1998,50000000,50000000,81810107,1149604,30.60,CalSTRS,2026-02-18,"FYE June 30, 2025"
Oak HC FT Partners V LP,2022,100000000,57414289,7780846,58903461,16.46,CalSTRS,2026-02-18,"FYE June 30, 2025"
Oaktree European Principal Fund III U.S.,2011,75000000,55322196,63090307,13702237,4.85,CalSTRS,2026-02-18,"FYE June 30, 2025"
"OCM Opportunities Fund VII, L.P.",2007,115640000,115640000,160026704,,7.30,CalSTRS,2026-02-18,"FYE June 30, 2025"
"OCM Opportunities Fund VIIb, L.P.",2008,300000000,230783818,428392230,,16.40,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Olympus Growth Fund V, L.P.",2008,75000000,69589308,153621284,,15.73,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Olympus Growth Fund VI, L.P.",2014,250000000,233088485,444528477,38897988,16.09,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Olympus Growth Fund VII, L.P.",2019,350000000,375771899,375572757,391846107,26.40,CalSTRS,2026-02-18,"FYE June 30, 2025"
ONCAP III LP,2011,21986075,26087335,56921046,3501801,15.03,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Onex Partners I, L.P.",2004,100000000,95358713,292177762,480014,37.99,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Onex Partners II, L.P.",2006,150000000,133190079,241291712,460460,12.66,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Onex Partners III, L.P.",2008,175000000,160237034,266687507,25579242,11.23,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Onex Partners IV, L.P.",2014,200000000,217020623,231255480,72554607,6.92,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Onex Partners V, L.P.",2019,250000000,228645781,38407204,305474691,12.00,CalSTRS,2026-02-18,"FYE June 30, 2025"
"OrbiMed Private Investments IV, L.P.",2010,40000000,42717841,130403898,2941737,31.75,CalSTRS,2026-02-18,"FYE June 30, 2025"
OrbiMed Private Investments IX LP,2022,75000000,37688957,10434980,37009484,24.08,CalSTRS,2026-02-18,"FYE June 30, 2025"
OrbiMed Private Investments V,2013,40000000,51717440,116407056,10049544,38.16,CalSTRS,2026-02-18,"FYE June 30, 2025"
OrbiMed Private Investments VIII LP,2020,50000000,41281805,12534068,36779925,6.88,CalSTRS,2026-02-18,"FYE June 30, 2025"
"OrbiMed Royalty & Credit Opportunities III, LP",2019,50000000,63495340,60251982,16008574,15.06,CalSTRS,2026-02-18,"FYE June 30, 2025"
OrbiMed Royalty Credit Opps IV,2022,75000000,68234445,39437462,36259414,13.22,CalSTRS,2026-02-18,"FYE June 30, 2025"
PAG Asia I LP,2011,125000000,125250432,241192866,10156729,16.61,CalSTRS,2026-02-18,"FYE June 30, 2025"
PAG Asia II LP,2016,150000000,150206633,146555932,99668094,9.51,CalSTRS,2026-02-18,"FYE June 30, 2025"
PAG Asia III LP,2019,250000000,251990319,79351071,248881625,8.09,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Palladium Equity Partners IV, L.P.",2012,90000000,100012830,93113027,81121088,10.24,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Palladium Equity Partners V, L.P.",2018,100000000,90969776,58216732,94259712,14.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Paul Capital VIII-B, L.P.",2004,50000000,49246837,65601790,550890,7.61,CalSTRS,2026-02-18,"FYE June 30, 2025"
Peak Rock Capital Credit Fund II L.P.,2017,20000000,27938868,28698603,2505849,14.02,CalSTRS,2026-02-18,"FYE June 30, 2025"
Peak Rock Capital Fund II L.P.,2017,80000000,58627874,104868885,17347379,34.56,CalSTRS,2026-02-18,"FYE June 30, 2025"
Peak Rock Capital Fund III,2021,200000000,149996781,46061617,201135008,28.23,CalSTRS,2026-02-18,"FYE June 30, 2025"
Peak Rock Capital Fund LP,2013,50000000,46249093,50116627,22072909,15.97,CalSTRS,2026-02-18,"FYE June 30, 2025"
Peak Rock Real Estate Fund I,2021,14991002,16996039,12694438,6476653,7.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira Europe II,2000,352154835,310169279,616648199,,23.51,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira Europe III,2004,352154835,398115773,658911238,213098,24.15,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira Growth Opportunities I L.P.1,2019,100000000,104383219,26431017,110215605,8.00,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira Growth Opps II SCSp,2022,150000000,91400092,6226016,86374784,0.84,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira IV,2006,821694616,952937868,1478362247,212023408,9.01,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Permira V, L.P.",2014,264116127,274754989,686844710,71601424,20.63,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Permira VI, L.P.1",2016,352154835,326215749,345245884,307310373,14.87,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira VII L.P.1,2020,528232253,501831038,85216258,603581760,8.80,CalSTRS,2026-02-18,"FYE June 30, 2025"
Permira VIII 1 SCSp,2023,363893330,164363272,4871199,201656749,17.37,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Pond Ventures III, L.P.",2006,10000000,9108773,17159756,,12.36,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Providence Equity Partners V, L.P.",2005,350000000,319205004,395168169,,3.04,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Providence Equity Partners VI, L.P.",2007,700000000,676085997,1004572192,2520389,5.91,CalSTRS,2026-02-18,"FYE June 30, 2025"
