fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
Sterling Value Add Partners Fund III LP,2017,50000000.0,10249623.0,0.0,,0.94,-0.1234,Louisiana Teachers,2019-Q4,2025-02-19
FCP Realty Fund IV LP,2018,50000000.0,10590724.0,494343.0,,1.01,0.014499999999999999,Louisiana Teachers,2019-Q4,2025-02-19
Harbert European Real Estate Fund V LP,2018,56125000.0,9322500.0,65776.0,,1.07,0.16399999999999998,Louisiana Teachers,2019-Q4,2025-02-19
Sares Regis Multifamily Value- Add Fund III LP,2018,50000000.0,14596075.0,2607059.0,,0.93,-0.12029999999999999,Louisiana Teachers,2019-Q4,2025-02-19
TPG Real Estate Partners III LP,2018,75000000.0,6723769.0,0.0,,0.73,-0.9751000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Harbert United States Real Estate Fund VII LP,2019,50000000.0,10234619.0,0.0,,0.97,-0.1348,Louisiana Teachers,2019-Q4,2025-02-19
"Horsley Bridge VII, L.P.",2000,100000000.0,71753592.0,83691378.0,,1.22,0.0256,Louisiana Teachers,2019-Q4,2025-02-19
Louisiana Fund I,2004,10000000.0,9350000.0,253175.0,,1.47,0.0354,Louisiana Teachers,2019-Q4,2025-02-19
"New Enterprise Associates 14, L.P.",2012,50000000.0,47750000.0,45274042.0,,2.26,0.1775,Louisiana Teachers,2019-Q4,2025-02-19
"Insight Venture Partners VIII, L.P.",2013,25000000.0,22684408.0,31622218.0,,2.34,0.1859,Louisiana Teachers,2019-Q4,2025-02-19
"Technology Crossover Ventures VIII, LP",2013,50000000.0,40280590.0,6545660.0,,1.8,0.1528,Louisiana Teachers,2019-Q4,2025-02-19
Insight Venture Partners IX LP,2014,50000000.0,47689709.0,8101460.0,,2.28,0.2903,Louisiana Teachers,2019-Q4,2025-02-19
New Enterprise Associates 15 LP,2015,50000000.0,45250000.0,10651404.0,,1.81,0.2126,Louisiana Teachers,2019-Q4,2025-02-19
Technology Crossover Ventures IX LP,2015,50000000.0,36834194.0,2747595.0,,1.24,0.1491,Louisiana Teachers,2019-Q4,2025-02-19
Insight Venture Partners X LP,2017,50000000.0,40260000.0,17123.0,,1.25,0.2519,Louisiana Teachers,2019-Q4,2025-02-19
New Enterprise Associates 16 LP,2017,50000000.0,30125000.0,895453.0,,1.17,0.1261,Louisiana Teachers,2019-Q4,2025-02-19
New Enterprise TCV X LP,2018,50000000.0,16286402.0,0.0,,0.95,-0.09849999999999999,Louisiana Teachers,2019-Q4,2025-02-19
