fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
CVC Capital Partners VI (C) LP,2014,107647750.0,102188228.0,49218542.0,,1.54,0.1718,Louisiana Teachers,2019-Q4,2025-02-19
Lindsay Goldberg IV LP,2014,75000000.0,44741831.0,23092366.0,,1.49,0.2838,Louisiana Teachers,2019-Q4,2025-02-19
Neoma Global Growth Markets Strategic Fund (B) Patria-Brazilian Private Equity Fund V LP,2014,50000000.0,25572283.0,28488.0,,1.32,0.21719999999999998,Louisiana Teachers,2019-Q4,2025-02-19
Roark Capital Partners IV LP,2014,50000000.0,38156417.0,351375.0,,1.07,0.024,Louisiana Teachers,2019-Q4,2025-02-19
Trident VI LP,2014,50000000.0,43122927.0,28199270.0,,1.86,0.218,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Capital Partners VII LP,2015,125000000.0,88318584.0,8940090.0,,1.28,0.2016,Louisiana Teachers,2019-Q4,2025-02-19
Summit Partners Growth Equity Fund IX LP,2015,75000000.0,70732100.0,20888880.0,,1.34,0.2892,Louisiana Teachers,2019-Q4,2025-02-19
Thomas H. Lee Equity Fund VII LP,2015,100000000.0,83202754.0,24271545.0,,1.56,0.2437,Louisiana Teachers,2019-Q4,2025-02-19
TPG Growth III LP,2015,75000000.0,55579073.0,27153705.0,,1.48,0.1973,Louisiana Teachers,2019-Q4,2025-02-19
TPG Partners VII LP,2015,100000000.0,84302303.0,16636990.0,,1.37,0.1628,Louisiana Teachers,2019-Q4,2025-02-19
BC European Capital Fund X,2016,74870750.0,46406392.0,980868.0,,1.25,0.188,Louisiana Teachers,2019-Q4,2025-02-19
Bridgepoint Development Capital III,2016,39742500.0,19806603.0,5241293.0,,1.64,0.4293,Louisiana Teachers,2019-Q4,2025-02-19
"Charterhouse Capital Partners X, LP",2016,97208500.0,47979764.0,15193695.0,,1.46,0.2336,Louisiana Teachers,2019-Q4,2025-02-19
Green Equity Investors VII LP,2016,100000000.0,69438852.0,1104710.0,,1.22,0.134,Louisiana Teachers,2019-Q4,2025-02-19
Kelso Investment Associates IX LP,2016,100000000.0,88485885.0,51261217.0,,1.5,0.2213,Louisiana Teachers,2019-Q4,2025-02-19
Kohlberg Investors VIII LP,2016,75000000.0,47001963.0,594984.0,,1.24,0.1795,Louisiana Teachers,2019-Q4,2025-02-19
