fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"GTCR Fund XII, L.P.",2018,200000000.0,87100000.0,3906779.0,84738212.0,0.019696481943032314,1.0177381285878302,Massachusetts PRIM,2020-Q1,2025-02-19
"Hellman & Friedman Capital Partners VI, L.P.",2007,125000000.0,122278989.0,221284987.02,4789081.0,0.1286469080512252,1.8488382171691002,Massachusetts PRIM,2020-Q1,2025-02-19
"Hellman & Friedman Capital Partners VII, L.P.",2011,200000000.0,191688954.0,267682858.0,248040339.31,0.23030935864596144,2.690416878742006,Massachusetts PRIM,2020-Q1,2025-02-19
"Hellman & Friedman Capital Partners VIII, L.P.",2016,230000000.0,230642114.0,21660970.0,217782776.61999997,0.021145307334477927,1.038161428836019,Massachusetts PRIM,2020-Q1,2025-02-19
"H&F Spock 1, L.P.",2018,20349451.0,20362087.0,,37129806.0,0.35546830010930663,1.8234774264543707,Massachusetts PRIM,2020-Q1,2025-02-19
"Highland Capital Partners VI-B, L.P.",2001,25000000.0,25000000.0,39708190.499978006,371497.0,0.11390683229298663,1.60318749999912,Massachusetts PRIM,2020-Q1,2025-02-19
"Highland Capital Partners VII, L.P.",2006,25000000.0,25001094.0,29323165.49,7773474.0,0.05858274895907573,1.4838006484836224,Massachusetts PRIM,2020-Q1,2025-02-19
"Highland Capital Partners VIII, L.P.",2010,30000000.0,30000000.0,10924626.1,25370676.0,0.03085061571777492,1.2098434033333334,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Partners XI, L.P.",2020,140000000.0,20250000.0,,18565022.29,-0.08320880425197874,0.9167912241975309,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners Coinvestment Fund III, L.P.",2014,22000000.0,22000000.0,51145662.849999994,7506901.46,0.26371484100729625,2.6660256504545456,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners Co-Investment II, L.P.",2011,15000000.0,16319998.55,37956804.45,10592908.08,0.2245065209939573,2.9748601007075455,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.",2015,40000000.0,38334604.17,11084070.430000002,77091112.75,0.29991803527031025,2.3001459148756354,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners IX, L.P.",2015,120000000.0,118142668.66,20350051.369999997,229863661.48,0.24590914282063872,2.1178945396102753,Massachusetts PRIM,2020-Q1,2025-02-19
"Insight Venture Partners VI, L.P.",2007,25000000.0,27858015.89,69157622.48,200134.6,0.1924805273585453,2.489687612853178,Massachusetts PRIM,2020-Q1,2025-02-19
