investment_name,"initial_investment
date","capital
committed","paid-in
capital
a",unfunded_commitment,"current
market_value
b","capital
distributed_1
c_","total_value
b+c","total_value
multiple
b+c_a","gain_since
inception
b+c-a","net
irr_2",strategy_type,source,scraped_date,reporting_period
"Endeavour Capital Fund V, L.P. - Secondary Purchase",12/31/2020,"7,686,196","151,453",-,-,"410,296","410,296",2.7x,"258,843",165.51%,Special Situations,WSIB,2026-02-18,ir093024
"Endeavour Capital Fund VI, L.P.",12/1/2011,"95,000,000","93,146,344","5,991,365","1,423,928","204,226,544","205,650,472",2.2x,"112,504,128",14.67%,Special Situations,WSIB,2026-02-18,ir093024
"Endeavour Capital Fund VI, L.P. - Secondary Purchase",12/31/2020,"11,233,671","4,413,428","708,473","168,377","12,389,996","12,558,373",2.8x,"8,144,945",176.85%,Special Situations,WSIB,2026-02-18,ir093024
"Endeavour Capital Fund VII, L.P.",2/23/2016,"125,000,000","122,366,976","7,322,127","140,246,118","145,662,721","285,908,839",2.3x,"163,541,863",19.72%,Special Situations,WSIB,2026-02-18,ir093024
"Endeavour Capital Fund VII, L.P. - Secondary Purchase",12/31/2020,"13,285,294","14,965,023","778,217","14,905,687","11,484,312","26,389,999",1.8x,"11,424,976",29.92%,Special Situations,WSIB,2026-02-18,ir093024
"Endeavour Capital Fund VIII, L.P.",11/5/2021,"200,000,000","102,372,911","90,752,315","113,378,457","8,650,630","122,029,087",1.2x,"19,656,176",8.58%,Special Situations,WSIB,2026-02-18,ir093024
"Energy Recovery Fund, L.P.",11/12/1987,"100,000,000","100,000,000",-,-,"169,999,899","169,999,899",1.7x,"69,999,899",10.68%,Special Situations,WSIB,2026-02-18,ir093024
"Evercore Capital Partners II, L.P.",4/14/2003,"75,000,000","84,108,992",-,-,"102,387,229","102,387,229",1.2x,"18,278,237",4.91%,Special Situations,WSIB,2026-02-18,ir093024
"Evergreen Pacific Partners II, L.P.",9/4/2008,"50,000,000","50,169,654",-,-,"102,781,444","102,781,444",2.0x,"52,611,790",21.97%,Special Situations,WSIB,2026-02-18,ir093024
"France Private Equity II, L.P.",10/30/1998,"27,093,410","21,513,536",-,-,"36,464,308","36,464,308",1.7x,"14,950,772",13.74%,Special Situations,WSIB,2026-02-18,ir093024
"Luminate Capital Partners III, L.P.",6/9/2021,"150,000,000","114,742,757","35,257,243","125,998,639",-,"125,998,639",1.1x,"11,255,882",5.06%,Special Situations,WSIB,2026-02-18,ir093024
"Luminate Capital Partners IV, L.P.",N/A,"200,000,000",-,"200,000,000",-,-,-,N/A,-,N/A,Special Situations,WSIB,2026-02-18,ir093024
"Nordic Capital Fund III, L.P.",2/26/1998,"47,001,443","51,026,056",-,-,"181,979,741","181,979,741",3.6x,"130,953,685",31.31%,Special Situations,WSIB,2026-02-18,ir093024
"Palamon European Equity II, L.P.",10/25/2005,"132,008,575","155,735,724",-,"18,341,422","216,772,578","235,114,000",1.5x,"79,378,276",8.08%,Special Situations,WSIB,2026-02-18,ir093024
"Palamon European Equity, L.P.",7/30/1999,"50,735,000","68,736,807",-,-,"119,003,657","119,003,657",1.7x,"50,266,850",10.75%,Special Situations,WSIB,2026-02-18,ir093024
"Riverside Micro-Cap Fund V, L.P.",5/1/2019,"75,000,000","79,171,992","1,426,326","107,974,485","9,179,809","117,154,294",1.5x,"37,982,302",13.60%,Special Situations,WSIB,2026-02-18,ir093024
"TSG Capital Fund II, L.P.",1/31/1995,"30,000,000","29,627,405",-,-,"19,542,707","19,542,707",0.7x,"(10,084,698)",(8.54%),Special Situations,WSIB,2026-02-18,ir093024
"TSG Capital Fund III, L.P.",9/1/1998,"75,000,000","79,824,029",-,-,"45,320,238","45,320,238",0.6x,"(34,503,791)",(13.52%),Special Situations,WSIB,2026-02-18,ir093024
"Tailwind Capital Partners Fund IV, L.P.",N/A,"84,807,584",-,"84,807,584","(1,500,235)",-,"(1,500,235)",N/A,"(1,500,235)",N/A,Special Situations,WSIB,2026-02-18,ir093024
Distressed Debt,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"Avenue Asia Special Situations Fund IV, L.P.",7/20/2006,"75,000,000","69,994,819",-,-,"73,908,888","73,908,888",1.1x,"3,914,069",1.25%,Special Situations,WSIB,2026-02-18,ir093024
"Avenue Special Situations Fund IV, L.P.",3/27/2006,"100,000,000","125,897,973",-,-,"165,321,132","165,321,132",1.3x,"39,423,159",8.40%,Special Situations,WSIB,2026-02-18,ir093024
"Avenue Special Situations Fund V, L.P.",6/4/2007,"200,000,000","221,111,891",-,-,"287,491,278","287,491,278",1.3x,"66,379,387",11.23%,Special Situations,WSIB,2026-02-18,ir093024
"Contrarian Capital Fund II, L.P.",3/19/1997,"40,000,000","40,000,000",-,-,"56,236,772","56,236,772",1.4x,"16,236,772",5.31%,Special Situations,WSIB,2026-02-18,ir093024
"DDJ Galileo Fund, L.P.",1/20/1995,"20,712,000","20,712,000",-,-,"17,308,790","17,308,790",0.8x,"(3,403,210)",(7.26%),Special Situations,WSIB,2026-02-18,ir093024
MatlinPatterson Global Opp. Ptnrs. III,6/22/2007,"150,000,000","183,043,431",-,-,"223,333,241","223,333,241",1.2x,"40,289,810",3.98%,Special Situations,WSIB,2026-02-18,ir093024
"MatlinPatterson Global Opportunities Partners, L.P.",1/9/2002,"75,000,000","78,544,925",-,-,"132,766,491","132,766,491",1.7x,"54,221,566",15.82%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund IX, L.P.",3/26/2013,"400,000,000","400,040,278",-,"249,704,584","480,904,502","730,609,086",1.8x,"330,568,808",8.14%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund VIII, L.P.",12/9/2009,"125,000,000","125,000,000",-,"160,944","183,304,718","183,465,662",1.5x,"58,465,662",9.06%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund VIII-B, L.P.",8/22/2011,"125,000,000","125,000,000",-,"15,432,590","196,233,841","211,666,431",1.7x,"86,666,431",8.27%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund X, L.P.",7/15/2015,"200,000,000","186,000,155","34,000,000","94,655,172","189,864,625","284,519,797",1.5x,"98,519,642",9.29%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund Xb, L.P.",6/18/2018,"400,000,000","300,022,271","100,000,000","421,565,389","69,783,395","491,348,784",1.6x,"191,326,513",12.54%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Opportunities Fund XI, L.P.",8/3/2020,"400,000,000","340,016,625","60,000,000","387,020,194","46,625,051","433,645,245",1.3x,"93,628,620",10.80%,Special Situations,WSIB,2026-02-18,ir093024
"Oaktree Principal Fund V, L.P.",2/23/2010,"150,000,000","137,640,876","7,500,000","11,463,725","155,773,065","167,236,790",1.2x,"29,595,914",3.20%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund II, L.P.",10/28/1997,"75,000,000","75,000,000",-,-,"113,377,090","113,377,090",1.5x,"38,377,090",8.45%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund III, L.P.",9/23/1999,"125,000,000","130,000,000",-,-,"193,334,933","193,334,933",1.5x,"63,334,933",11.94%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund IV, L.P.",10/30/2001,"100,000,000","107,500,000",-,-,"172,695,378","172,695,378",1.6x,"65,195,378",28.02%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund V, L.P.",6/30/2004,"30,000,000","30,000,000",-,-,"49,500,091","49,500,091",1.7x,"19,500,091",14.01%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund VI, L.P.",9/28/2005,"30,000,000","30,000,000",-,-,"47,383,596","47,383,596",1.6x,"17,383,596",8.75%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund VII, L.P.",5/16/2007,"85,000,000","85,000,000",-,-,"117,526,617","117,526,617",1.4x,"32,526,617",7.34%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund VII-B, L.P.",6/3/2008,"215,000,000","193,500,000",-,-,"335,119,343","335,119,343",1.7x,"141,619,343",16.52%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Opportunities Fund, LP",10/24/1995,"38,600,000","40,537,194",-,-,"65,244,578","65,244,578",1.6x,"24,707,384",10.23%,Special Situations,WSIB,2026-02-18,ir093024
"OCM Principal Opportunities Fund IV, LP",12/7/2006,"150,000,000","157,486,282",-,-,"262,304,718","262,304,718",1.7x,"104,818,436",8.82%,Special Situations,WSIB,2026-02-18,ir093024
"Sixth Street Opportunities Partners II, L.P.",10/9/2012,"200,000,000","141,485,198","59,141,556","1,706,717","244,466,609","246,173,326",1.7x,"104,688,128",16.44%,Special Situations,WSIB,2026-02-18,ir093024
"Sixth Street Opportunities Partners III, L.P.",2/6/2014,"165,764,898","110,212,098","24,355,024","30,489,158","135,960,166","166,449,324",1.5x,"56,237,226",8.60%,Special Situations,WSIB,2026-02-18,ir093024
"Sixth Street Opportunities Partners IV, L.P.",1/18/2019,"200,000,000","161,423,677","25,337,865","146,167,929","79,992,352","226,160,281",1.4x,"64,736,604",10.49%,Special Situations,WSIB,2026-02-18,ir093024
"Sixth Street Opportunities Partners V, L.P.",6/7/2022,"225,000,000","163,447,424","63,662,094","177,350,630","2,137,114","179,487,744",1.1x,"16,040,320",7.74%,Special Situations,WSIB,2026-02-18,ir093024
"Varde Select Fund, L.P.",2/11/1998,"16,000,000","16,000,000",-,-,"21,131,746","21,131,746",1.3x,"5,131,746",6.02%,Special Situations,WSIB,2026-02-18,ir093024
Growth Equity,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"Boston Ventures V, L.P.",9/30/1996,"39,000,000","44,825,045",-,-,"50,838,274","50,838,274",1.1x,"6,013,229",2.80%,Special Situations,WSIB,2026-02-18,ir093024
"Boston Ventures VI, L.P.",7/27/2000,"50,000,000","47,158,062",-,-,"70,705,578","70,705,578",1.5x,"23,547,516",9.41%,Special Situations,WSIB,2026-02-18,ir093024
"Brentwood Associates IV, L.P.",5/18/1983,"15,000,000","15,000,000",-,-,"32,589,610","32,589,610",2.2x,"17,589,610",10.94%,Special Situations,WSIB,2026-02-18,ir093024
"Centurium Capital Partners 2018, L.P.",2/26/2019,"200,000,000","208,954,554","680,783","272,439,162","23,551,281","295,990,443",1.4x,"87,035,889",8.09%,Special Situations,WSIB,2026-02-18,ir093024
"FountainVest China Capital Partners Fund III, L.P.",2/1/2017,"200,000,000","205,396,602","31,824,343","209,504,323","65,713,674","275,217,997",1.3x,"69,821,395",7.46%,Special Situations,WSIB,2026-02-18,ir093024
"FountainVest China Growth Capital Fund II, L.P.",1/2/2013,"150,000,000","171,034,020","4,354,817","14,013,941","231,196,868","245,210,809",1.4x,"74,176,789",11.71%,Special Situations,WSIB,2026-02-18,ir093024
"FountainVest China Growth Capital Fund, L.P.",10/31/2008,"50,000,000","58,333,850","6,978,798","94,297","79,427,850","79,522,147",1.4x,"21,188,297",6.66%,Special Situations,WSIB,2026-02-18,ir093024
"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.",5/11/2015,"50,000,000","54,175,000","4,856,050","101,451,193","87,058,992","188,510,185",3.5x,"134,335,185",26.66%,Special Situations,WSIB,2026-02-18,ir093024
"Insight Venture Partners IX, L.P.",3/24/2015,"150,000,000","158,354,363","1,209,270","355,604,811","258,805,398","614,410,209",3.9x,"456,055,846",23.86%,Special Situations,WSIB,2026-02-18,ir093024
"Insight Venture Partners VIII, L.P.",7/10/2013,"150,000,000","165,153,163","5,608,495","160,437,928","364,984,035","525,421,963",3.2x,"360,268,799",20.73%,Special Situations,WSIB,2026-02-18,ir093024
"Insight Partners XI, L.P.",3/25/2020,"200,000,000","194,600,000","5,984,915","304,018,363","1,264,069","305,282,432",1.6x,"110,682,432",12.95%,Special Situations,WSIB,2026-02-18,ir093024
"Insight Partners XII, L.P.",7/15/2021,"250,000,000","217,250,000","32,750,000","213,251,149","334,912","213,586,061",1.0x,"(3,663,939)",(0.75%),Special Situations,WSIB,2026-02-18,ir093024
Permira Growth Opportunities II SCSp,4/14/2022,"200,000,000","79,800,000","125,726,378","66,519,103","5,526,378","72,045,481",0.9x,"(7,754,519)",(5.05%),Special Situations,WSIB,2026-02-18,ir093024
"Sequoia Global Growth Fund III - Endurance Partners, L.P.",6/11/2018,"350,000,000","336,418,433","13,581,567","472,089,772","111,037,582","583,127,354",1.7x,"246,708,921",16.00%,Special Situations,WSIB,2026-02-18,ir093024
"Silver Lake Partners VII, L.P.",1/4/2024,"500,000,000","106,932,559","392,242,627","113,720,013","5,859,515","119,579,528",1.1x,"12,646,969",12.77%,Special Situations,WSIB,2026-02-18,ir093024
"Sixth Street Growth Partners II, L.P.",8/1/2022,"200,000,000","76,449,441","123,553,914","83,860,566","32,721","83,893,287",1.1x,"7,443,846",7.79%,Special Situations,WSIB,2026-02-18,ir093024
"TA XI, L.P.",7/30/2010,"150,000,000","158,576,044","2,250,000","17,824,024","552,813,060","570,637,084",3.6x,"412,061,040",26.71%,Special Situations,WSIB,2026-02-18,ir093024
"TA XII, L.P.",2/22/2016,"250,000,000","296,659,122","2,500,000","235,734,610","602,898,181","838,632,791",2.8x,"541,973,669",34.93%,Special Situations,WSIB,2026-02-18,ir093024
"TA XIII, L.P.",12/16/2019,"355,000,000","380,515,463","32,837,500","452,213,707","226,977,963","679,191,670",1.8x,"298,676,207",23.81%,Special Situations,WSIB,2026-02-18,ir093024
"TCV IX, L.P.",12/27/2016,"200,000,000","178,183,262","41,240,000","125,839,357","236,966,855","362,806,212",2.0x,"184,622,950",18.74%,Special Situations,WSIB,2026-02-18,ir093024
"TCV VIII, L.P.",2/3/2014,"150,000,000","140,484,585","19,237,472","103,624,316","215,825,593","319,449,909",2.3x,"178,965,324",12.31%,Special Situations,WSIB,2026-02-18,ir093024
"TCV X, L.P.",2/11/2019,"200,000,000","157,019,281","49,893,409","309,213,893","64,419,823","373,633,716",2.4x,"216,614,435",22.99%,Special Situations,WSIB,2026-02-18,ir093024
"TCV XI, L.P.",2/1/2021,"250,000,000","198,158,925","51,841,075","200,634,094",-,"200,634,094",1.0x,"2,475,169",0.57%,Special Situations,WSIB,2026-02-18,ir093024
"The Rise Fund III, L.P.",5/26/2023,"250,000,000","117,865,706","133,275,133","136,151,687","1,308,217","137,459,904",1.2x,"19,594,198",24.19%,Special Situations,WSIB,2026-02-18,ir093024
"TowerBrook Delta (Onshore), L.P.",11/14/2023,"100,000,000","32,862,781","68,005,408","26,967,566","105,520","27,073,086",0.8x,"(5,789,695)",(25.56%),Special Situations,WSIB,2026-02-18,ir093024
"TPG Growth II, L.P.",12/23/2011,"200,000,000","223,472,281","7,374,263","4,485,183","397,442,564","401,927,747",1.8x,"178,455,466",14.83%,Special Situations,WSIB,2026-02-18,ir093024
Investment Name,"Initial Investment
Date","Capital
Committed","Paid-In
Capital
(A)",Unfunded Commitment,"Current
Market Value
(B)","Capital
Distributed (1)
(C )","Total Value
(B+C)","Total Value
Multiple
(B+C)/A","Gain Since
Inception
(B+C)-A","Net
IRR (2)",Special Situations,WSIB,2026-02-18,ir093024
"TPG Growth III, L.P.",5/6/2015,"300,000,000","360,084,125","6,145,072","190,720,579","402,976,674","593,697,253",1.6x,"233,613,128",16.50%,Special Situations,WSIB,2026-02-18,ir093024
"TPG Growth IV, L.P.",7/26/2018,"350,000,000","388,030,702","32,882,972","375,870,583","251,853,452","627,724,035",1.6x,"239,693,333",14.68%,Special Situations,WSIB,2026-02-18,ir093024
"TPG Growth V, L.P.",2/5/2021,"400,000,000","396,336,821","55,211,674","488,750,002","61,248,388","549,998,390",1.4x,"153,661,569",16.09%,Special Situations,WSIB,2026-02-18,ir093024
"TPG Growth VI, L.P.",8/1/2024,"400,000,000","34,910,870","365,089,130","41,137,263",-,"41,137,263",1.2x,"6,226,393",17.84%,Special Situations,WSIB,2026-02-18,ir093024
"TPG STAR, L.P.",1/9/2007,"100,000,000","129,073,742","8,006","6,152,681","155,205,984","161,358,665",1.3x,"32,284,923",6.22%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus China, L.P.",12/23/2016,"190,000,000","197,506,399",-,"170,488,353","87,053,789","257,542,142",1.3x,"60,035,743",5.81%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus China-Southeast Asia II, L.P.",6/20/2019,"300,000,000","174,000,000","126,000,000","158,028,902","33,566,918","191,595,820",1.1x,"17,595,820",4.20%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Energy, L.P.",7/25/2014,"200,000,000","192,363,629","8,000,000","85,697,986","147,061,719","232,759,705",1.2x,"40,396,076",3.99%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Equity Partners, L.P.",6/26/1998,"400,000,000","400,000,083",-,-,"663,489,234","663,489,234",1.7x,"263,489,151",10.30%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Financial Sector II, L.P.",7/21/2021,"200,000,000","153,760,182","63,000,000","188,365,257","35,322,151","223,687,408",1.5x,"69,927,225",23.36%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Financial Sector, L.P.",1/5/2018,"200,000,000","203,222,509","7,900,000","255,984,280","146,485,905","402,470,185",2.0x,"199,247,676",18.58%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Global Growth 14, L.P.",2/16/2022,"600,000,000","285,528,658","319,500,000","321,421,548","20,911,717","342,333,265",1.2x,"56,804,607",16.00%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Global Growth, L.P.",3/26/2019,"750,000,000","708,509,202","43,500,000","958,029,610","186,324,629","1,144,354,239",1.6x,"435,845,038",14.72%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus International Partners, L.P.",6/22/2000,"100,000,000","106,373,361",-,-,"194,099,056","194,099,056",1.8x,"87,725,695",10.47%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus International Partners, L.P. - WSIB Secondary",1/5/2005,"10,000,000","6,940,314",-,-,"18,316,360","18,316,360",2.6x,"11,376,047",29.91%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Private Equity IX, L.P.",7/26/2005,"700,000,000","701,101,672",-,"782,879","1,205,648,789","1,206,431,668",1.7x,"505,329,996",9.61%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Private Equity VIII, L.P.",8/3/2001,"300,000,000","313,385,843",-,-,"700,801,804","700,801,804",2.2x,"387,415,961",14.50%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Private Equity X, L.P.",10/24/2007,"750,000,000","771,369,047",-,"17,415,573","1,355,209,643","1,372,625,216",1.8x,"601,256,169",9.51%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Private Equity XI, L.P.",5/24/2012,"750,000,000","763,227,511",-,"195,534,777","1,158,369,267","1,353,904,044",1.8x,"590,676,533",12.03%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Private Equity XII, L.P.",12/21/2015,"700,000,000","700,457,695",-,"547,964,452","890,543,667","1,438,508,119",2.1x,"738,050,424",16.49%,Special Situations,WSIB,2026-02-18,ir093024
"Warburg Pincus Ventures, LP",12/16/1994,"100,000,000","100,000,000",-,-,"512,860,595","512,860,595",5.1x,"412,860,595",48.21%,Special Situations,WSIB,2026-02-18,ir093024
Mezzanine,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"Capital Resource Lenders II, L.P.",11/23/1993,"25,000,000","25,000,000",-,-,"33,817,078","33,817,078",1.4x,"8,817,078",5.70%,Special Situations,WSIB,2026-02-18,ir093024
"Capital Resource Lenders III, L.P.",6/28/1996,"30,000,000","30,000,000",-,-,"35,890,939","35,890,939",1.2x,"5,890,939",4.33%,Special Situations,WSIB,2026-02-18,ir093024
"Capital Resource Partners IV, L.P.",3/18/1999,"70,000,000","69,838,012",-,-,"77,995,111","77,995,111",1.1x,"8,157,099",2.05%,Special Situations,WSIB,2026-02-18,ir093024
"Equity-Linked Investors, L.P.",4/1/1985,"25,000,000","25,000,000",-,-,"68,962,491","68,962,491",2.8x,"43,962,491",10.78%,Special Situations,WSIB,2026-02-18,ir093024
"European Mezzanine Fund III, L.P.",7/12/1999,"49,337,541","56,625,848",-,-,"118,709,850","118,709,850",2.1x,"62,084,002",17.11%,Special Situations,WSIB,2026-02-18,ir093024
"Green Mountain Partners II, L.P.",7/24/1998,"40,000,000","43,860,280",-,-,"71,191,466","71,191,466",1.6x,"27,331,186",10.31%,Special Situations,WSIB,2026-02-18,ir093024
"Green Mountain Partners, L.P.",4/8/1996,"30,001,016","31,418,200",-,-,"39,036,189","39,036,189",1.2x,"7,617,989",5.62%,Special Situations,WSIB,2026-02-18,ir093024
"GTCR Capital Partners, L.P.",11/12/1999,"50,000,000","53,111,111",-,-,"76,596,807","76,596,807",1.4x,"23,485,696",10.81%,Special Situations,WSIB,2026-02-18,ir093024
"Rice Partners II, L.P.",12/8/1994,"45,000,000","44,833,083",-,-,"39,477,794","39,477,794",0.9x,"(5,355,289)",(3.38%),Special Situations,WSIB,2026-02-18,ir093024
"RSTW Partners III, LP",5/20/1997,"50,000,000","46,021,748",-,-,"43,293,772","43,293,772",0.9x,"(2,727,976)",(1.17%),Special Situations,WSIB,2026-02-18,ir093024
"WCAS Capital Partners III, L.P.",8/14/1997,"100,000,000","100,000,000",-,-,"174,638,563","174,638,563",1.7x,"74,638,563",13.02%,Special Situations,WSIB,2026-02-18,ir093024
Real Estate - Debt,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"BlackRock Asset Investors, L.P.",3/30/1995,"100,000,000","105,890,515",-,-,"145,038,847","145,038,847",1.4x,"39,148,332",21.88%,Special Situations,WSIB,2026-02-18,ir093024
Co-Investment,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"Evergreen Park Investment Fund, L.P.",6/29/2021,"3,800,000,000","2,852,220,913","962,034,208","3,751,613,990","5,566,926","3,757,180,916",1.3x,"904,960,003",17.24%,Special Situations,WSIB,2026-02-18,ir093024
"Fisher Lynch Co-Investment Partnership II, L.P.",2/24/2011,"500,000,000","519,474,946","38,956,059","256,032,217","930,507,262","1,186,539,479",2.3x,"667,064,533",17.38%,Special Situations,WSIB,2026-02-18,ir093024
"Fisher Lynch Co-Investment Partnership III, L.P.",2/8/2017,"700,000,000","727,593,459","1,692","929,621,060","491,498,856","1,421,119,916",2.0x,"693,526,457",13.73%,Special Situations,WSIB,2026-02-18,ir093024
"Fisher Lynch Co-Investment Partnership IV, L.P.",4/17/2019,"750,000,000","749,796,314","18,762,834","1,035,116,584","376,816,953","1,411,933,537",1.9x,"662,137,223",18.42%,Special Situations,WSIB,2026-02-18,ir093024
"Fisher Lynch Co-Investment Fund V, LP.",2/28/2024,"100,000,000","37,149,973","62,850,027","44,436,245",-,"44,436,245",1.2x,"7,286,272",26.40%,Special Situations,WSIB,2026-02-18,ir093024
"Fisher Lynch Co-Investment Partnership, L.P.",3/6/2006,"250,000,000","284,752,218",-,-,"417,692,635","417,692,635",1.5x,"132,940,417",6.85%,Special Situations,WSIB,2026-02-18,ir093024
Special Situation,,,,,,,,,,,Special Situations,WSIB,2026-02-18,ir093024
"EIG Energy Fund XVI, L.P.",12/13/2013,"200,000,000","200,008,316","49,724,211","89,038,160","148,034,579","237,072,739",1.2x,"37,064,423",3.73%,Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest Global Private Equity, L.P.",12/11/2007,"147,395,717","147,395,717",-,-,"202,932,151","202,932,151",1.4x,"55,536,434",4.00%,Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest International PEP II - Direct Fund, L.P.",9/26/1995,"5,000,000","5,000,000",-,-,"9,504,976","9,504,976",1.9x,"4,504,976",19.57%,Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest International PEP II - Partnership Fund, L.P.",6/29/1995,"35,055,265","34,355,265",-,-,"49,478,253","49,478,253",1.4x,"15,122,988",9.43%,Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest Int'l PEP III - Direct Fund, L.P.",3/31/1998,"50,097,669","48,883,492",-,-,"40,805,680","40,805,680",0.8x,"(8,077,812)",(2.00%),Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest Int'l PEP III - Partnership Fund, L.P.",6/22/1998,"76,800,000","76,800,000",-,-,"119,921,210","119,921,210",1.6x,"43,121,210",10.50%,Special Situations,WSIB,2026-02-18,ir093024
HarbourVest Int'l PEP IV - Direct Fund L.P.,7/20/2001,"56,700,000","56,700,000",-,-,"105,847,648","105,847,648",1.9x,"49,147,648",21.29%,Special Situations,WSIB,2026-02-18,ir093024
HarbourVest Int'l PEP IV- Partnership Fund L.P.,4/9/2001,"32,400,000","32,400,000",-,-,"55,254,067","55,254,067",1.7x,"22,854,067",22.59%,Special Situations,WSIB,2026-02-18,ir093024
"HarbourVest Partners II, L.P.",11/25/1985,"10,000,000","10,000,000",-,-,"19,369,421","19,369,421",1.9x,"9,369,421",8.49%,Special Situations,WSIB,2026-02-18,ir093024
HarbourVest Partners VI - Partnership Fund,5/7/1999,"187,500,000","174,375,000",-,-,"213,865,504","213,865,504",1.2x,"39,490,504",3.60%,Special Situations,WSIB,2026-02-18,ir093024
"HIPEP V-Asia Pacific and Rest of World Fund, L.P.",5/9/2006,"75,000,000","70,613,291",-,-,"98,254,306","98,254,306",1.4x,"27,641,015",5.57%,Special Situations,WSIB,2026-02-18,ir093024
"HIPEP VI-Asia Pacific Fund, L.P.",3/18/2009,"50,000,000","47,500,000","2,500,000","13,673,053","62,076,165","75,749,218",1.6x,"28,249,218",8.04%,Special Situations,WSIB,2026-02-18,ir093024
"HIPEP VI-Emerging Markets Fund, L.P.",12/14/2009,"50,000,000","50,000,000",-,"29,574,550","29,607,158","59,181,708",1.2x,"9,181,708",2.24%,Special Situations,WSIB,2026-02-18,ir093024
Sixth Street Growth Partners,8/27/2019,"200,000,000","146,837,246","40,715,451","125,007,295","86,019,079","211,026,374",1.4x,"64,189,128",11.33%,Special Situations,WSIB,2026-02-18,ir093024
Investment Name,"Initial Investment
Date","Capital
Committed","Paid-In
Capital
(A)",Unfunded Commitment,"Current
Market Value
(B)","Capital
Distributed (1)
(C )","Total Value
(B+C)","Total Value
Multiple
(B+C)/A","Gain Since
Inception
(B+C)-A","Net
IRR (2)",Venture Capital,WSIB,2026-02-18,ir093024
Venture Capital,,,,,,,,,,,Venture Capital,WSIB,2026-02-18,ir093024
"Austin Ventures IV, L.P.",11/1/1994,"15,000,000","15,000,000",-,-,"126,322,781","126,322,781",8.4x,"111,322,781",73.23%,Venture Capital,WSIB,2026-02-18,ir093024
"Austin Ventures V, LP",3/28/1997,"15,000,000","15,000,000",-,-,"29,635,763","29,635,763",2.0x,"14,635,763",31.89%,Venture Capital,WSIB,2026-02-18,ir093024
"Austin Ventures VI, L.P.",11/25/1998,"24,000,000","25,395,840",-,-,"16,044,621","16,044,621",0.6x,"(9,351,220)",(7.89%),Venture Capital,WSIB,2026-02-18,ir093024
"Austin Ventures VII, L.P.",12/16/1999,"74,000,000","73,980,549",-,-,"59,730,926","59,730,926",0.8x,"(14,249,623)",(2.80%),Venture Capital,WSIB,2026-02-18,ir093024
"Austin Ventures VIII, L.P.",7/26/2001,"66,400,000","70,582,755",-,-,"114,022,769","114,022,769",1.6x,"43,440,014",6.84%,Venture Capital,WSIB,2026-02-18,ir093024
Cable & Howse Partners II,10/30/1981,"3,000,000","3,000,000",-,-,"3,117,310","3,117,310",1.0x,"117,310",0.46%,Venture Capital,WSIB,2026-02-18,ir093024
