fund_name,gp_name,vintage_year,committed,cash_in,cash_out,remaining_value,total_value,tvpi,dpi,rvpi,net_irr,source,as_of_date
"Hornet Co-Invest, L.P.","Hornet Co-Invest,",2024.0,800000000.0,492162226.0,0.0,677583449.0,677583449.0,1.0,0.0,1.3767481801823613,,CalPERS,"June 30, 2025"
"Insight Partners XIII Growth Buyout Fund, L.P.",Insight Partners,2024.0,100000000.0,17000000.0,25474.0,19238651.0,19264125.0,1.0,0.001498470588235294,1.1316853529411766,,CalPERS,"June 30, 2025"
"Insight Partners XIII, L.P.",Insight Partners,2024.0,300000000.0,54563999.0,27042.0,55370705.0,55397747.0,1.0,0.0004956015045744723,1.0147845835126563,,CalPERS,"June 30, 2025"
"Jade Equity Investors II, L.P.",Jade Equity,2024.0,150000000.0,55295097.0,0.0,65342474.0,65342474.0,1.0,0.0,1.1817046636160164,,CalPERS,"June 30, 2025"
"JSC Capital Partners, L.P.",JSC Capital,2024.0,1175584265.0,1178998131.0,0.0,1385499032.0,1385499032.0,1.0,0.0,1.17514947273483,,CalPERS,"June 30, 2025"
"KOALA PACIFIC PARTNERSHIP, L.P.",KOALA PACIFIC,2024.0,200000000.0,150425662.0,0.0,177755044.0,177755044.0,1.0,0.0,1.1816803172852248,,CalPERS,"June 30, 2025"
"Lincoln Plaza Fund, L.P.",Lincoln Plaza,2024.0,2000000000.0,646334782.0,9063510.0,759443751.0,768507261.0,1.0,0.014022934015641449,1.1750005912570554,,CalPERS,"June 30, 2025"
"LS Investments C, L.P.",LS Investments,2024.0,650000000.0,506936627.0,0.0,589013362.0,589013362.0,1.0,0.0,1.1619072890544955,,CalPERS,"June 30, 2025"
"Mayfield XVII, a Delaware Limited Partnership",Mayfield,2024.0,21000000.0,3360000.0,0.0,4557446.0,4557446.0,1.0,0.0,1.356382738095238,,CalPERS,"June 30, 2025"
"MBK Partners Fund VI, L.P.",MBK Partners,2024.0,250000000.0,49503729.0,134737.0,32924004.0,33058741.0,1.0,0.002721754557116293,0.6650812911487941,,CalPERS,"June 30, 2025"
"New Mountain Partners VII, L.P.",New Mountain,2024.0,250000000.0,43964888.0,0.0,52375994.0,52375994.0,1.0,0.0,1.191314168706628,,CalPERS,"June 30, 2025"
"Pioneer Pier Investments, L.P.",Pioneer Pier,2024.0,300000000.0,51050648.0,1043992.0,68112052.0,69156044.0,1.0,0.020450122396095737,1.334205434571565,,CalPERS,"June 30, 2025"
Pophouse Fund (No. 1) SCS,Pophouse Fund,2024.0,113118526.0,31084426.0,593474.0,31056953.0,31650427.0,1.0,0.01909232617002482,0.9991161812027669,,CalPERS,"June 30, 2025"
"Prysm Capital Fund II-C, L.P.",Prysm Capital,2024.0,200000000.0,133042956.0,0.0,237411471.0,237411471.0,1.0,0.0,1.7844723098305182,,CalPERS,"June 30, 2025"
RC CC Fund LP,RC CC,2024.0,750000000.0,541639800.0,0.0,722263218.0,722263218.0,1.0,0.0,1.3334751582140012,,CalPERS,"June 30, 2025"
